binary-trees,fannkuch-redux,k-nucleotide,mandelbrot,n-body,regex-redux,reverse-complement,spectral-norm
39.14046120643616,133.11029815673828,145.45614457130432,136.83254194259644,135.57555770874023,10.778362512588501,4.399718523025513,11.116756439208984
39.68572235107422,132.60305166244507,145.84081983566284,139.88316798210144,135.85047483444214,10.742311000823975,4.609265089035034,11.113860845565796
39.80252766609192,132.65643119812012,145.09624648094177,139.03964138031006,135.69397687911987,10.782731771469116,4.541744709014893,11.120225429534912
38.9093804359436,132.6933934688568,144.87103176116943,137.74983739852905,135.64494466781616,10.741828441619873,4.722527742385864,11.167240619659424
38.82070207595825,133.35090708732605,143.7120144367218,140.2722294330597,137.75673484802246,10.886685132980347,4.451521635055542,11.12092399597168
39.60813784599304,134.66793823242188,144.28643369674683,139.37555766105652,135.8638641834259,10.80327033996582,4.513780117034912,11.118890285491943
40.761778831481934,132.69843220710754,144.96870231628418,139.40153813362122,135.45620799064636,10.699220180511475,4.766574144363403,11.085585355758667
39.49269437789917,132.7194151878357,145.55017948150635,140.5029330253601,137.00846982002258,10.808696508407593,4.5651633739471436,11.112684726715088
39.935150146484375,132.94739651679993,146.15268397331238,140.4078185558319,135.7904031276703,10.754696607589722,4.651341915130615,11.120052576065063
39.43109607696533,135.34031701087952,144.66962146759033,138.92817091941833,137.74667286872864,10.706937074661255,4.523468732833862,11.08414626121521
39.5563178062439,132.50954699516296,145.82351279258728,140.46190524101257,135.91228532791138,10.72084641456604,4.554339647293091,11.117169618606567
39.48632216453552,132.7588334083557,145.78910064697266,137.95549654960632,136.3754026889801,10.757503986358643,4.525068283081055,11.112760543823242
40.403491258621216,132.3641107082367,145.72252869606018,139.8551893234253,136.21632981300354,10.745762348175049,4.478745460510254,11.10762643814087
39.39168119430542,132.76602840423584,146.41518449783325,141.3103563785553,136.04138612747192,10.73601770401001,4.393109560012817,11.118131399154663
40.822176694869995,132.36594820022583,145.02223682403564,139.90896034240723,135.3938136100769,10.7905855178833,4.412722587585449,11.121074914932251
40.16232204437256,132.4781882762909,145.10428762435913,141.52417707443237,135.67323350906372,10.759260654449463,4.582790374755859,11.114676713943481
