binary-trees ; 278.564575195312500000, 199.770324707031250000, 0.000671386718750000, 34.273681640625000000,  8269.77 
binary-trees ; 281.186706542968750000, 202.015319824218750000, 0.000000000000000000, 34.242187500000000000,  8283.89 
binary-trees ; 73.357910156250000000, 49.130981445312500000, 0.000000000000000000, 7.678344726562500000,  2639.09 
binary-trees ; 81.310180664062500000, 49.128479003906250000, 0.000000000000000000, 9.515075683593750000,  3448.84 
binary-trees ; 125.478088378906250000, 84.683532714843750000, 0.000000000000000000, 13.532348632812500000,  4369.55 
binary-trees ; 0.889526367187500000, 0.602905273437500000, 0.000000000000000000, 0.101623535156250000,  29.339 
binary-trees ; 0.217102050781250000, 0.108764648437500000, 0.000000000000000000, 0.032043457031250000,  11.683 
binary-trees ; 0.507141113281250000, 0.227172851562500000, 0.000000000000000000, 0.089843750000000000,  31.02 
binary-trees ; 0.566894531250000000, 0.272399902343750000, 0.000000000000000000, 0.095214843750000000,  31.686 
binary-trees ; 0.517456054687500000, 0.255310058593750000, 0.000000000000000000, 0.083374023437500000,  28.408 
binary-trees ; 280.361572265625000000, 201.352722167968750000, 0.000000000000000000, 34.155700683593750000,  8232.55 
binary-trees ; 281.965942382812500000, 202.438293457031250000, 0.000000000000000000, 34.210937500000000000,  8267.44 
binary-trees ; 283.288879394531250000, 203.421142578125000000, 0.000000000000000000, 34.205017089843750000,  8259.21 
binary-trees ; 287.257568359375000000, 205.666381835937500000, 0.001098632812500000, 34.653625488281250000,  8463 
binary-trees ; 284.414184570312500000, 204.156799316406250000, 0.000000000000000000, 34.253662109375000000,  8286.07 
binary-trees ; 285.678955078125000000, 205.236450195312500000, 0.000000000000000000, 34.285156250000000000,  8267.34 
binary-trees ; 292.283264160156250000, 208.325866699218750000, 0.000000000000000000, 35.046936035156250000,  8655.59 
binary-trees ; 284.445922851562500000, 205.290100097656250000, 0.000000000000000000, 33.945190429687500000,  8122.91 
binary-trees ; 290.752563476562500000, 208.007568359375000000, 0.001098632812500000, 34.726562500000000000,  8471.07 
binary-trees ; 285.124633789062500000, 205.182006835937500000, 0.000000000000000000, 34.079345703125000000,  8193.54 
fannkuch-redux ; 462.201660156250000000, 235.222778320312500000, 0.000000000000000000, 57.079650878906250000,  23583.1 
fannkuch-redux ; 461.641052246093750000, 234.102966308593750000, 0.001037597656250000, 56.884155273437500000,  23501.7 
fannkuch-redux ; 462.869934082031250000, 235.008728027343750000, 0.000000000000000000, 57.148315429687500000,  23610.2 
fannkuch-redux ; 453.262512207031250000, 229.045837402343750000, 0.000976562500000000, 57.147033691406250000,  23612.6 
fannkuch-redux ; 460.564880371093750000, 233.267395019531250000, 0.000915527343750000, 56.881835937500000000,  23501.9 
fannkuch-redux ; 450.924926757812500000, 227.893676757812500000, 0.000000000000000000, 56.916564941406250000,  23517 
fannkuch-redux ; 449.570861816406250000, 227.228393554687500000, 0.000915527343750000, 56.891845703125000000,  23506.6 
fannkuch-redux ; 449.780090332031250000, 227.154296875000000000, 0.000000000000000000, 57.152648925781250000,  23615.3 
fannkuch-redux ; 447.113525390625000000, 225.996093750000000000, 0.000976562500000000, 56.906311035156250000,  23512.8 
fannkuch-redux ; 450.355041503906250000, 227.498962402343750000, 0.000000000000000000, 57.148620605468750000,  23612.6 
fasta ; 63.853271484375000000, 31.047363281250000000, 0.000000000000000000, 9.178649902343750000,  3440.35 
fasta ; 63.910156250000000000, 30.892883300781250000, 0.000854492187500000, 9.276672363281250000,  3484.71 
fasta ; 64.044799804687500000, 31.075561523437500000, 0.000000000000000000, 9.225891113281250000,  3463.06 
fasta ; 64.006225585937500000, 31.071411132812500000, 0.000000000000000000, 9.209960937500000000,  3455.39 
fasta ; 64.193481445312500000, 31.160095214843750000, 0.000000000000000000, 9.236755371093750000,  3467.78 
fasta ; 64.834472656250000000, 31.171020507812500000, 0.000000000000000000, 9.502563476562500000,  3567.2 
fasta ; 66.290893554687500000, 31.328796386718750000, 0.000000000000000000, 10.063476562500000000,  3783.08 
fasta ; 70.559814453125000000, 32.166503906250000000, 0.000000000000000000, 11.476928710937500000,  4300.73 
fasta ; 68.246215820312500000, 31.999145507812500000, 0.000000000000000000, 10.689575195312500000,  3981.06 
fasta ; 66.916259765625000000, 32.987670898437500000, 0.000000000000000000, 9.793823242187500000,  3620.66 
k-nucleotide ; 281.937683105468750000, 150.450561523437500000, 0.000915527343750000, 33.860961914062500000,  13718.6 
k-nucleotide ; 280.241271972656250000, 149.665405273437500000, 0.000000000000000000, 33.570678710937500000,  13648.4 
k-nucleotide ; 281.830566406250000000, 150.524658203125000000, 0.000000000000000000, 33.710021972656250000,  13681 
k-nucleotide ; 278.428955078125000000, 148.585632324218750000, 0.000976562500000000, 33.505249023437500000,  13629.5 
k-nucleotide ; 283.548583984375000000, 152.208251953125000000, 0.000000000000000000, 33.522033691406250000,  13630 
k-nucleotide ; 277.956176757812500000, 148.442382812500000000, 0.000000000000000000, 33.363952636718750000,  13592.8 
k-nucleotide ; 278.377258300781250000, 148.779724121093750000, 0.001037597656250000, 33.370300292968750000,  13578.3 
k-nucleotide ; 278.486877441406250000, 148.911682128906250000, 0.000000000000000000, 33.257019042968750000,  13548.5 
k-nucleotide ; 279.510375976562500000, 149.491760253906250000, 0.000000000000000000, 33.291931152343750000,  13562.3 
k-nucleotide ; 282.276733398437500000, 151.332275390625000000, 0.000915527343750000, 33.574890136718750000,  13649.5 
binary-trees ; 290.688903808593750000, 209.702148437500000000, 0.000732421875000000, 35.108886718750000000,  8440.41 
