benchmark-name; PKG (Joules); CPU (J); DRAM (J) ; Time (ms)
regex-redux ; 0.006958007812500000, 0.005126953125000000,  ,  ,  1.229 
regex-redux ; 0.007995605468750000, 0.004577636718750000,  ,  ,  0.741 
regex-redux ; 0.010864257812500000, 0.009216308593750000,  ,  ,  1.077 
regex-redux ; 0.000000000000000000, 0.004882812500000000,  ,  ,  0.781 
regex-redux ; 0.010864257812500000, 0.005859375000000000,  ,  ,  0.993 
regex-redux ; 0.000000000000000000, 0.005126953125000000,  ,  ,  0.873 
regex-redux ; 0.010803222656250000, 0.004211425781250000,  ,  ,  0.664 
regex-redux ; 0.010192871093750000, 0.003967285156250000,  ,  ,  0.593 
regex-redux ; 0.000000000000000000, 0.003601074218750000,  ,  ,  0.62 
regex-redux ; 0.009521484375000000, 0.004150390625000000,  ,  ,  0.717 
mandelbrot ; 74.079345703125000000, 67.763122558593750000,  ,  ,  2519.67 
mandelbrot ; 62.138610839843750000, 54.263305664062500000,  ,  ,  3179.15 
mandelbrot ; 57.066345214843750000, 49.754150390625000000,  ,  ,  2931.11 
mandelbrot ; 56.222290039062500000, 49.625305175781250000,  ,  ,  2888.2 
mandelbrot ; 56.675415039062500000, 49.651794433593750000,  ,  ,  2912.62 
mandelbrot ; 55.564941406250000000, 49.784545898437500000,  ,  ,  2855.24 
mandelbrot ; 60.434082031250000000, 54.135070800781250000,  ,  ,  3106.9 
mandelbrot ; 55.910278320312500000, 50.010375976562500000,  ,  ,  2870.91 
mandelbrot ; 55.877380371093750000, 49.795043945312500000,  ,  ,  2872.68 
mandelbrot ; 55.883605957031250000, 49.795288085937500000,  ,  ,  2870.93 
binary-trees ; 56.943115234375000000, 47.809143066406250000,  ,  ,  2734.11 
binary-trees ; 52.534912109375000000, 43.041870117187500000,  ,  ,  2809.55 
binary-trees ; 53.750000000000000000, 44.210205078125000000,  ,  ,  2816.97 
binary-trees ; 52.716979980468750000, 43.241821289062500000,  ,  ,  2795.35 
binary-trees ; 53.338134765625000000, 43.716979980468750000,  ,  ,  2845.51 
binary-trees ; 52.518249511718750000, 44.171508789062500000,  ,  ,  2811.7 
binary-trees ; 53.292541503906250000, 45.373596191406250000,  ,  ,  2768.97 
binary-trees ; 52.125366210937500000, 44.249267578125000000,  ,  ,  2747.48 
binary-trees ; 55.972167968750000000, 47.960754394531250000,  ,  ,  2797.92 
binary-trees ; 54.630004882812500000, 46.741516113281250000,  ,  ,  2747.22 
reverse-complement ; 0.005615234375000000, 0.003540039062500000,  ,  ,  1.201 
reverse-complement ; 0.005737304687500000, 0.002319335937500000,  ,  ,  0.811 
reverse-complement ; 0.005249023437500000, 0.002319335937500000,  ,  ,  0.999 
reverse-complement ; 0.004821777343750000, 0.002014160156250000,  ,  ,  0.912 
reverse-complement ; 0.004089355468750000, 0.001953125000000000,  ,  ,  1.044 
reverse-complement ; 0.005432128906250000, 0.001647949218750000,  ,  ,  0.99 
reverse-complement ; 0.005615234375000000, 0.001892089843750000,  ,  ,  0.992 
reverse-complement ; 0.005371093750000000, 0.002075195312500000,  ,  ,  1.014 
reverse-complement ; 0.005065917968750000, 0.001892089843750000,  ,  ,  1.278 
reverse-complement ; 0.008483886718750000, 0.001831054687500000,  ,  ,  1.287 
spectral-norm ; 22.739013671875000000, 20.762634277343750000,  ,  ,  750.976 
spectral-norm ; 22.510437011718750000, 20.494140625000000000,  ,  ,  743.752 
spectral-norm ; 22.102966308593750000, 20.011535644531250000,  ,  ,  755.967 
spectral-norm ; 22.024658203125000000, 19.916564941406250000,  ,  ,  761.36 
spectral-norm ; 20.381530761718750000, 18.206909179687500000,  ,  ,  794.884 
spectral-norm ; 17.058471679687500000, 14.737243652343750000,  ,  ,  873.991 
spectral-norm ; 21.486206054687500000, 19.211303710937500000,  ,  ,  830.067 
spectral-norm ; 21.404113769531250000, 19.269042968750000000,  ,  ,  768.647 
spectral-norm ; 21.125427246093750000, 18.984130859375000000,  ,  ,  773.18 
spectral-norm ; 20.749694824218750000, 18.595275878906250000,  ,  ,  777.359 
n-body ; 66.170837402343750000, 55.050048828125000000,  ,  ,  4238.29 
n-body ; 63.326049804687500000, 51.791076660156250000,  ,  ,  4281.64 
n-body ; 55.985290527343750000, 46.739379882812500000,  ,  ,  4350.22 
n-body ; 59.593200683593750000, 50.757507324218750000,  ,  ,  4191.49 
n-body ; 61.106079101562500000, 52.415588378906250000,  ,  ,  4123.05 
n-body ; 57.127563476562500000, 48.014160156250000000,  ,  ,  4320.94 
n-body ; 55.828979492187500000, 46.643737792968750000,  ,  ,  4348.4 
n-body ; 59.270019531250000000, 50.228149414062500000,  ,  ,  4283.54 
n-body ; 59.948608398437500000, 51.180175781250000000,  ,  ,  4155.12 
n-body ; 61.160583496093750000, 50.654418945312500000,  ,  ,  4276.86 
fannkuch-redux ; 239.496215820312500000, 213.461425781250000000,  ,  ,  10488 
fannkuch-redux ; 222.236206054687500000, 196.921142578125000000,  ,  ,  11294.2 
fannkuch-redux ; 224.355773925781250000, 199.775512695312500000,  ,  ,  11255.9 
fannkuch-redux ; 220.539550781250000000, 196.645996093750000000,  ,  ,  11264.6 
fannkuch-redux ; 217.706542968750000000, 192.138854980468750000,  ,  ,  11052.5 
fannkuch-redux ; 219.727294921875000000, 196.079162597656250000,  ,  ,  11137.9 
fannkuch-redux ; 218.689575195312500000, 195.091430664062500000,  ,  ,  11107 
fannkuch-redux ; 219.945800781250000000, 196.232910156250000000,  ,  ,  11155.6 
fannkuch-redux ; 216.409240722656250000, 193.078796386718750000,  ,  ,  10972.3 
